City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Sulangan,PH,11.1373,123.7228,81.88,74,93,9.69,overcast clouds
304,Bayaguana,DO,18.7564,-69.6362,71.83,94,1,4.59,clear sky
305,Byron Bay,AU,-28.65,153.6167,78.06,83,40,12.8,scattered clouds
306,Sao Filipe,CV,14.8961,-24.4956,76.55,49,100,20.18,overcast clouds
307,Uray,RU,60.1247,64.7758,-1.21,95,56,4.94,broken clouds
308,Aswan,EG,24.0934,32.907,58.89,51,0,9.93,clear sky
309,Nkhotakota,MW,-12.9274,34.2961,72.84,89,99,6.04,light rain
310,Ada,US,43.4166,-116.1262,30.33,83,0,5.99,clear sky
311,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,20,8.05,few clouds
312,Kushima,JP,31.4583,131.2333,62.11,82,100,7.94,overcast clouds
313,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,70.59,87,50,3.31,scattered clouds
314,Songjianghe,CN,42.1859,127.479,20.43,57,29,4.7,scattered clouds
315,Cabo San Lucas,MX,22.8909,-109.9124,69.51,63,66,4.12,broken clouds
316,Hobyo,SO,5.3505,48.5268,80.4,55,58,17.72,broken clouds
317,Prince Rupert,CA,54.3161,-130.3201,38.37,90,100,3.4,overcast clouds
318,Aiken,US,33.5835,-81.5998,58.1,71,0,8.05,clear sky
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.28,91,93,3.49,overcast clouds
320,Mackay,AU,-21.15,149.2,82.69,68,10,19.98,clear sky
321,Marica,BR,-22.9194,-42.8186,75.85,88,56,3.06,broken clouds
322,Svecha,RU,58.2785,47.5164,15.57,95,100,6.24,snow
323,Itarema,BR,-2.9248,-39.9167,76.51,90,80,7.05,broken clouds
324,Ravar,IR,31.2656,56.8055,49.55,51,84,8.7,broken clouds
325,Nishihara,JP,26.1842,127.7558,71.26,83,75,12.66,broken clouds
326,Aklavik,CA,68.2191,-135.0107,-38.79,98,37,1.25,scattered clouds
327,Pangoa,PE,-12.1167,-73.0,67.17,94,100,1.72,overcast clouds
328,Pareora,NZ,-44.4871,171.2132,54.18,92,100,14.09,overcast clouds
329,Fairbanks,US,64.8378,-147.7164,11.23,78,100,0.0,light snow
330,Suluq,LY,31.6682,20.2521,49.6,83,0,0.83,clear sky
331,Hasaki,JP,35.7333,140.8333,41.4,89,100,13.65,moderate rain
332,Praya,CV,14.9215,-23.5087,72.14,64,0,23.02,clear sky
333,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,60.24,80,74,5.21,broken clouds
334,Iberia,US,29.9502,-91.7507,44.96,76,100,27.63,overcast clouds
335,Tarare,FR,45.8976,4.4327,40.53,84,13,4.92,few clouds
336,Flagstaff,US,35.1981,-111.6513,42.46,44,0,0.0,clear sky
337,Severo-Kurilsk,RU,50.6789,156.125,23.61,68,75,4.34,broken clouds
338,Beira,MZ,-19.8436,34.8389,78.89,83,20,9.22,few clouds
339,Dingle,PH,10.9995,122.6711,85.6,64,96,13.65,overcast clouds
340,Vuktyl,RU,63.8567,57.3094,12.52,93,100,7.54,overcast clouds
341,Cowra,AU,-33.8333,148.6833,84.11,26,1,4.94,clear sky
342,Magadan,RU,59.5667,150.8,-1.23,82,63,3.98,broken clouds
343,Qarchi Gak,AF,37.04,66.7889,44.69,45,55,7.74,broken clouds
344,Puerto Leguizamo,CO,-0.1934,-74.7819,74.41,89,99,1.19,overcast clouds
345,Vila,PT,42.0304,-8.1588,42.33,95,77,6.71,broken clouds
346,Chara,RU,56.9064,118.2631,-15.21,89,52,1.14,broken clouds
347,Jimo,CN,36.3897,120.4622,46.53,46,65,5.06,broken clouds
348,Voh,NC,-20.9667,164.7,83.62,75,99,5.61,overcast clouds
349,Nemuro,JP,43.3236,145.575,27.03,81,100,6.85,overcast clouds
350,Muros,ES,42.7762,-9.0603,53.24,92,96,23.15,overcast clouds
351,Kondinskoye,RU,59.6481,67.41,2.93,93,100,3.31,overcast clouds
352,Samarai,PG,-10.6167,150.6667,82.54,69,25,9.78,scattered clouds
353,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.81,95,70,1.72,light rain
354,Mercedes,AR,-34.6515,-59.4307,54.01,70,0,1.16,clear sky
355,Indramayu,ID,-6.3264,108.32,83.68,70,100,10.29,overcast clouds
356,Beloha,MG,-25.1667,45.05,81.95,62,3,14.34,clear sky
357,Mount Gambier,AU,-37.8333,140.7667,74.1,39,100,8.7,overcast clouds
358,Yumen,CN,40.2833,97.2,29.26,42,94,5.59,overcast clouds
359,Horom,AM,40.6616,43.8886,7.93,85,17,1.14,few clouds
360,Arlit,NE,18.7369,7.3853,59.5,20,12,3.89,few clouds
361,Harper,LR,4.375,-7.7169,77.05,87,10,4.52,light rain
362,Bara,NG,10.3744,10.7288,63.19,21,15,5.26,few clouds
363,Norsup,VU,-16.0667,167.3833,79.07,86,100,5.46,overcast clouds
364,Markova,UA,48.6758,24.4138,9.99,71,1,5.21,clear sky
365,Santa Maria,BR,-29.6842,-53.8069,67.37,94,52,5.35,broken clouds
366,Severnoye,RU,56.3491,78.3619,8.31,92,49,12.03,scattered clouds
367,Zile,TR,40.3031,35.8864,27.72,84,99,2.13,overcast clouds
368,Green Valley,US,31.8543,-110.9937,62.4,19,0,5.55,clear sky
369,Saint-Pierre,RE,-21.3393,55.4781,83.88,65,0,3.44,clear sky
370,Rawson,AR,-43.3002,-65.1023,69.89,33,56,8.21,broken clouds
371,Grand Gaube,MU,-20.0064,57.6608,86.4,71,30,13.0,scattered clouds
372,Kamaishi,JP,39.2667,141.8833,39.22,54,100,8.37,overcast clouds
373,Esmeraldas,BR,-19.7625,-44.3139,67.06,95,38,2.08,scattered clouds
374,Vagur,FO,61.4732,-6.8119,38.53,95,99,32.32,overcast clouds
375,Akyab,MM,20.15,92.9,75.33,39,40,7.58,scattered clouds
